FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AS,,$0,1,Transient non-community system,,,,MAPUSAGA MINI MART - MAPUSAGA,,09,,N,0,0,,,,,AS9900099,_____________,,,-14.263817,State Centroid,0,,,,110063336778,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,MASEFAU VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000038 AS9710812 AS9710855,VVSSVVVSSSSSV,0,220300000001,-14.257222,INTERPOLATION-PHOTO,1,,,96799,110013023940,MASEFAU VILLAGE,26,AMERICAN SAMOA,-170.632138
,,,Y,AS,,$0,1,Transient non-community system,,,,MENG STORE - MALAELOA,,09,,N,0,0,,,,,AS9900076,_____________,,,-14.263817,State Centroid,0,,,,110063339695,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Malaeimi Mart,,09,,N,0,0,,,,,AS9900164,_____________,,,-14.263817,State Centroid,0,,,,AS9900164,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,OCEAN MARKET - AUASI,,09,,N,0,0,,,,,AS9900001,_____________,,,-14.263817,State Centroid,0,,,,110063336787,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,OCEAN STAR ENTERPRISE - NUUULI,,09,,N,0,0,,,,,AS9900018,_____________,,,-14.263817,State Centroid,0,,,,110063356568,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,OFU WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000033 AS9430546,SSSSSSSSSSSSV,0,220300000003,-14.179482,,1,,,96799,110013023254,OFU VILLAGE MANUA,17400,AMERICAN SAMOA,-169.671061
60050,,,Y,AS,,$0,1,Community water system,,60050,,ONENOA VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000024 AS9710601,SSSSSSSSSSSSV,0,220300000001,-14.252308,INTERPOLATION-PHOTO,1,,,96799,110013023487,ONENOA VILLAGE,52,AMERICAN SAMOA,-170.580511
,,,Y,AS,,$0,1,Transient non-community system,,,,P & F MART - ILIILI,,09,,N,0,1,,,,,AS9900080,_______SSS___,,,-14.263817,State Centroid,0,,,,110063334734,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,PACIFIC MINIMART 1 (R ) - TAFUNA,,09,,N,0,0,,,,,AS9900035,_____________,,,-14.263817,State Centroid,0,,,,110063356540,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,PACIFIC MINIMART 2 (L) - TAFUNA,,09,,N,0,0,,,,,AS9900036,_____________,,,-14.263817,State Centroid,0,,,,110063356531,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,PUAPUA MART - PUAPUA,,09,,N,0,0,,,,,AS9900070,_____________,,,-14.263817,State Centroid,0,,,,110063356657,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Pago Pago Supermarket - Pago Pago,,09,,N,0,0,,,,,AS9900153,_____________,,,-14.263817,State Centroid,0,,,,AS9900153,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,SAMOA TASTY - MAPUSAGA,,09,,N,0,0,,,,,AS9900059,_____________,,,-14.263817,State Centroid,0,,,,110063356577,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,SHINS MART 2 (L) - PAVAIAI,,09,,N,0,0,,,,,AS9900100,_____________,,,-14.263817,State Centroid,0,,,,110063374977,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,SKYVIEW - AUA,,09,,N,0,0,,,,,AS9900004,_____________,,,-14.263817,State Centroid,0,,,,110063353179,,100000,,-170.66209
